speaker, data, score
CHAIRMAN GREENSPAN,19940204,0.5
MR. KELLEY,19940204,0.5
SPEAKER(?),19940204,0
SEVERAL,19940204,0
MR. BERNARD,19940204,0
MR. JORDAN,19940204,0.5
MR. TRUMAN,19940204,0
VICE CHAIRMAN MCDONOUGH,19940204,0.5
MR. LINDSEY,19940204,0.5
MR. FISHER,19940204,0
MS. LOVETT,19940204,0
MR. FORRESTAL,19940204,-0.5
MR. SYRON,19940204,0.5
MR. PRELL,19940204,0
MR. HOOPER,19940204,0
MR. STOCKTON,19940204,0
CPI. MR. PRELL,19940204,0
MR. PARRY,19940204,0.5
MR. KOHN,19940204,0
MR. BOEHNE,19940204,0.5
MR. LAWARE,19940204,0.5
MS. PHILLIPS,19940204,0.5
MR. KEEHN,19940204,0.5
MR. MCTEER,19940204,0
MR. HOENIG,19940204,0.5
MR. BROADDUS,19940204,0.5
MR. KOHN(?),19940204,0
MR. STERN,19940204,0.5
MR. MELZER,19940204,0.5
MR. MATTINGLY,19940204,0
MR. COYNE,19940204,0
MR. DAVIS,19940204,0
CHAIRMAN GREENSPAN,19940322,0
MS. MINEHAN,19940322,-0.5
VICE CHAIRMAN MCDONOUGH,19940322,0.5
MR. FISHER,19940322,0
SPEAKER(?),19940322,0
MR. LINDSEY,19940322,0.5
MS. LOVETT,19940322,0
MR. TRUMAN,19940322,0
MR. FORRESTAL,19940322,0.5
MR. JORDAN,19940322,0.5
MR. BROADDUS,19940322,0.5
MR. PARRY,19940322,0.5
MR. HOENIG,19940322,0.5
MR. MCTEER,19940322,-0.5
MR. BOEHNE,19940322,0.5
MR. LAWARE,19940322,-0.5
CHAIRMAN GREENSPAN. MR. LINDSEY,19940322,0
X. MR. MCTEER,19940322,0
MR. PRELL,19940322,0
MR. KEEHN,19940322,0.5
MR. STERN,19940322,0.5
MR. MELZER,19940322,0.5
MR. KELLEY,19940322,0.5
MS. PHILLIPS,19940322,0.5
MR. KOHN,19940322,0.5
C. CHAIRMAN GREENSPAN,19940322,0
MR. BERNARD,19940322,0.5
CHAIRMAN GREENSPAN,19940517,0.5
VICE CHAIRMAN MCDONOUGH,19940517,0.5
SPEAKER(?),19940517,0
MR. FISHER,19940517,0
MR. BROADDUS,19940517,0.5
MR. JORDAN,19940517,0.5
MR. TRUMAN,19940517,0
MR. LINDSEY,19940517,-0.5
MR. FORRESTAL,19940517,0.5
MS. LOVETT,19940517,0
MR. KOHN,19940517,0.5
MR. PRELL,19940517,0
MR. PARRY,19940517,0.5
