date,score
19940204,0.5
19940322,0.5
19940418,0.5
19940517,1.0
19940816,0.5
19941115,1.0
19950201,1.0
19950706,-1.0
19951219,-1.0
19960131,0.0
19970325,0.5
19980929,-1.0
19981015,-1.0
19981117,-0.5
19990518,0.5
19990630,0.0
19990824,1.0
19991005,0.5
19991116,0.5
19991221,0.5
20000202,1.0
20000321,1.0
20000516,1.0
20000628,0.5
20000822,0.5
20001003,0.5
20001115,0.5
20001219,-1.0
20010103,-1.0
20010131,-1.0
20010320,-1.0
20010418,-1.0
20010515,-1.0
20010627,-1.0
20010821,-1.0
20010917,-1.0
20011002,-1.0
20011106,-1.0
20011211,-1.0
20020130,-0.5
20020319,0.0
20020507,0.0
20020626,0.0
20020813,-1.0
20020924,-0.5
20021106,-1.0
20021210,0.0
20030129,0.0
20030318,-1.0
20030506,-1.0
20030625,-1.0
20030812,-1.0
20030916,-1.0
20031028,-1.0
20031209,-0.5
20040128,0.0
20040316,0.0
20040504,0.0
20040630,0.5
20040810,0.5
20040921,0.5
20041110,0.5
20041214,0.5
20050202,0.5
20050322,0.5
20050503,0.5
20050630,0.5
20050809,0.5
20050920,0.5
20051101,0.5
20051213,0.5
20060131,0.5
20060328,0.5
20060510,0.5
20060629,0.5
20060808,0.0
20060920,0.0
20061025,0.0
20061212,0.0
20070131,0.0
20070321,0.5
20070509,0.0
20070618,0.0
20070807,0.0
20070810,0.0
20070817,-1.0
20070918,-1.0
20071031,-0.5
20071211,-1.0
20080122,-1.0
20080130,-1.0
20080311,-1.0
20080318,-1.0
20080430,-1.0
20080625,0.0
20080805,0.0
20080916,0.0
20081008,-1.0
20081029,-1.0
20081216,-1.0
20090128,-1.0
20090318,-1.0
20090429,-1.0
20090624,-1.0
20090812,-1.0
20090923,-1.0
20091104,-1.0
20091216,-0.5
20100127,-1.0
20100316,-0.5
20100428,0.0
20100509,0.0
20100623,-1.0
20100810,-1.0
20100921,-1.0
20101103,-1.0
20101214,-1.0
20110126,-1.0
20110315,-0.5
20110427,0.0
20110622,-0.5
20110809,-1.0
20110921,-1.0
20111102,-0.5
20111213,-0.5
20120125,-1.0
20120313,-1.0
20120425,-0.5
20120620,-1.0
20120801,-1.0
20120913,-1.0
20121024,-1.0
20121212,-1.0
20130130,-1.0
20130320,-1.0
20130501,-1.0
20130619,-0.5
20130731,-1.0
20130918,-1.0
20131030,-0.5
20131218,-0.5
20140129,-0.5
20140319,-0.5
20140430,-0.5
20140618,0.0
20140730,-0.5
20140917,-0.5
20141029,0.0
20141217,0.0
20150128,0.0
20150318,0.0
20150429,-0.5
20150617,0.0
20150729,0.0
20150917,-0.5
20151028,0.0
20151216,0.5
20160127,0.0
20160316,-0.5
20160427,0.0
20160615,0.0
20160727,0.0
20160921,-0.5
20161102,0.0
20161214,0.5
